地区,1995,2000,2005,2010,2015,2019,2020
总用电量,10105,13605,24759,41997,56935,72484,75214
北京,262,384,571,810,953,1166,1140
天津,179,234,385,646,801,878,875
河北,603,809,1502,2692,3176,3856,3934
山西,399,502,946,1460,1737,2262,2342
内蒙古,187,254,668,1537,2543,3653,3900
辽宁,623,749,1111,1715,1985,2401,2423
吉林,268,291,378,577,652,780,805
黑龙江,409,442,556,748,869,996,1014
上海,403,559,922,1296,1406,1569,1576
江苏,685,971,2193,3864,5115,6264,6374
浙江,440,738,1642,2821,3554,4706,4830
安徽,289,339,582,1078,1640,2301,2428
福建,261,402,757,1315,1852,2402,2483
江西,181,208,392,701,1087,1536,1627
山东,741,1001,1912,3298,5117,6219,6940
河南,571,719,1353,2354,2880,3364,3392
湖北,415,503,789,1330,1665,2214,2144
湖南,375,406,674,1172,1448,1864,1929
广东,788,1335,2674,4060,5311,6696,6926
广西,221,314,510,993,1334,1907,2029
海南,32,38,82,159,272,355,363
重庆,0,308,348,626,875,1160,1186
四川,583,521,943,1549,1992,2636,2865
贵州,204,288,487,835,1174,1541,1586
云南,224,274,557,1004,1439,1812,2025
西藏,0,0,0,20,41,78,82
陕西,240,293,516,859,1222,1912,1741
甘肃,241,295,489,804,1099,1288,1376
青海,69,109,207,465,658,716,742
宁夏,92,136,303,547,878,1084,1038
新疆,120,183,310,662,2160,2868,3099
