地区,第一次人口普查,第二次人口普查,第三次人口普查,第四次人口普查,第五次人口普查,第六次人口普查,第七次人口普查
总人口,481199690,734800395,1003994926,1130532451,1262280000,1196370000,1411780000
北京,2768149,7568495,9230687,10819407,13820000,61780000,21893095
天津,2693831,45687781,7764141,8785402,10010000,22620000,13866009
河北,35984644,45687781,53005876,61082439,67440000,52430000,74610235
山西,14314485,18015067,25291389,28759014,32970000,31140000,34915616
内蒙古,6100104,12348638,19274279,21456798,23760000,25220000,24049155
辽宁,18545147,26946200,35721693,39459697,42380000,52340000,42591407
吉林,11290073,15668663,22560053,24658721,27280000,27160000,24073453
黑龙江,11897309,20118271,32665546,35214873,36890000,34740000,31850088
上海,6204417,10816458,11859748,13341896,16740000,50530000,24870895
江苏,41252192,44504608,60521114,67056519,74380000,85070000,84748016
浙江,22865747,28318573,38884603,41445930,46770000,50780000,64567588
安徽,30343637,31241657,49665724,56180813,59860000,39850000,61027171
福建,13142721,16757223,25931106,30097274,34710000,30850000,41540086
江西,16772865,21068019,33184827,37710281,41400000,30520000,45188635
山东,48876548,55519038,74419054,84392827,90790000,83290000,101527453
河南,44214594,50325511,74422739,85509535,92560000,60160000,99365519
湖北,27789693,33709344,47804150,53969210,60280000,54560000,57752557
湖南,33226954,37182286,54008851,60659754,64400000,49890000,66444864
广东,34770059,42800849,59299220,62829236,86420000,85670000,126012510
广西,19560822,20845017,36420960,42245765,44890000,27510000,50126804
海南,44214594,37182286,74422739,6557482,7870000,6740000,10081232
重庆,0,0,0,0,30900000,24930000,32054159
四川,62303999,67956490,99713310,107218173,83290000,53680000,83674866
贵州,15037310,17140521,28552997,32391066,35250000,18390000,38562148
云南,17472737,20509525,32553817,36972610,42880000,26560000,47209277
西藏,1273969,1251225,1892393,2196010,2620000,1650000,3648100
陕西,15881281,20766915,28904423,32882403,36050000,39400000,39528999
甘肃,12928102,12630569,19569261,22371141,25620000,19230000,25019831
青海,1676534,2145604,3895706,4456946,5180000,4850000,5923957
宁夏,0,2107490,3895578,4655451,5620000,5770000,7202654
新疆,4873608,7270067,13081681,15155778,19250000,23200000,25852345
台湾,7591298,28488510,18270749,20155830,22155830,23691236,23561236
