地区,城市供水普及率,城市燃气普及率,每万人拥有公共汽电车辆,人均城市道路面积,人均公园绿地面积,每万人拥有公共厕所
全国,98.99,97.87,12.88,18.04,14.78,3.07
北京,98.39,100.00,17.02,7.67,16.59,3.22
天津,100.00,100.00,11.54,14.91,10.31,3.63
河北,100.00,99.72,13.29,21.06,15.30,3.39
山西,99.60,98.70,11.01,18.41,13.51,2.49
内蒙古,99.50,97.26,11.51,23.93,19.20,7.85
辽宁,99.71,98.75,12.30,16.21,13.40,2.07
吉林,95.60,92.93,10.07,15.71,12.94,3.55
黑龙江,98.99,90.82,13.99,15.59,12.77,4.27
上海,100.00,100.00,9.21,4.76,9.05,2.34
江苏,100.00,99.92,15.61,25.60,15.34,4.23
浙江,100.00,100.00,14.75,19.08,13.59,3.05
安徽,99.60,99.24,13.02,24.29,14.88,2.68
福建,99.90,99.21,14.18,18.83,14.94,4.57
江西,98.62,97.59,9.73,19.81,14.80,3.27
山东,99.84,99.31,15.56,25.64,17.68,2.01
河南,98.19,96.83,12.20,15.32,14.43,4.06
湖北,99.56,98.40,11.36,18.89,13.83,2.71
湖南,98.94,97.29,17.25,19.72,12.16,2.49
广东,98.49,98.99,11.85,13.26,18.14,1.94
广西,99.68,99.36,9.41,23.76,12.85,1.52
海南,98.02,98.95,12.53,17.91,11.62,3.68
重庆,94.69,96.16,10.05,14.65,16.50,2.98
四川,98.28,97.41,12.10,18.13,14.40,2.68
贵州,98.90,94.55,11.29,21.23,17.04,2.92
云南,98.10,78.65,12.90,16.62,12.27,5.02
西藏,98.78,63.20,8.30,20.74,12.02,7.77
陕西,97.88,98.62,14.07,16.73,12.79,4.86
甘肃,98.15,94.80,13.33,20.25,15.15,3.26
青海,98.69,93.81,13.87,18.91,12.45,3.44
宁夏,98.87,97.52,11.85,26.78,21.02,2.99
新疆,99.52,98.39,13.06,25.30,14.02,2.67
