地区,年末供水综合生产能力(万立方米/日),年末供水管道长度(公里),全年供水总量(万立方米),生活用水,生产用水,用水人口(万人),人均日生活用水量(升)
全国,32072.7,1006910,6295420,3484644,1563872,53217.4,179.4
北京,1788.2,20535,147793,106125,15256,1885.6,154.2
天津,480.7,21613,96013,49592,29495,1174.4,115.7
河北,831.6,22874,157497,90651,43264,1950.3,127.3
山西,420.9,13822,87146,59001,18831,1207.6,133.9
内蒙古,401.8,12733,84486,33913,29562,917.6,101.3
辽宁,1222.2,39699,266232,123256,62927,2251.6,150
吉林,655.6,16878,105173,51699,24573,1163,121.8
黑龙江,667.4,22516,137320,66230,35679,1401.5,129.5
上海,1221,39553,288577,180726,41367,2428.1,203.9
江苏,3490.4,119680,587581,284989,183945,3538,220.7
浙江,2039.1,90785,424104,227555,140118,2833,220.1
安徽,1079,36257,238126,127887,70811,1775.2,197.4
福建,890,31722,188913,108662,38226,1388.1,214.5
江西,646.3,27958,143134,84355,30025,1308.1,176.7
山东,1908.1,59513,379082,173507,155140,3982.8,119.4
河南,1256.5,29138,217730,123864,56028,2630.8,129
湖北,1597.3,51100,302326,160029,74638,2273.5,192.8
湖南,1154.8,38420,226436,134181,40783,1738.4,211.5
广东,3949.1,128119,956867,539389,224642,6241.1,236.8
广西,708,23871,185974,121797,37331,1266.5,263.5
海南,199,6984,50766,34652,3025,344.9,275.3
重庆,711,26524,165352,100055,35766,1524.6,179.8
四川,1669.3,52542,291782,197855,37679,2760.2,196.4
贵州,432.7,17304,89271,51323,17622,828.2,169.8
云南,460.8,16735,104904,57066,18137,1007.8,155.1
西藏,68.5,1771,14700,10504,1541,98.9,290.9
陕西,577.8,11802,129087,72017,35833,1267.2,155.7
甘肃,373.8,6615,56912,32517,14857,636.4,140
青海,140.8,3446,30927,10733,14552,212.8,138.2
宁夏,277.2,3016,35344,17593,8135,296.5,162.6
新疆,753.7,13386,105864,52920,24083,884.8,163.9
